target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.25,8,23,missing_quotation,23,mismatched_quotation,False
500,0.25,9,18,missing_quotation,18,missing_quotation,True
500,0.25,10,11,missing_quotation,11,mismatched_quotation,False
500,0.25,11,14,missing_colon,14,missing_colon,True
500,0.25,12,14,missing_colon,14,missing_colon,True
500,0.25,13,19,mismatched_quotation,19,mismatched_quotation,True
500,0.25,14,21,keywords_as_identifier,21,keywords_as_identifier,True
500,0.25,15,10,keywords_as_identifier,10,keywords_as_identifier,True
500,0.25,16,22,missing_comma,22,missing_comma,True
500,0.25,17,17,mismatched_bracket,17,mismatched_bracket,True
500,0.25,18,20,mismatched_quotation,20,mismatched_quotation,True
500,0.25,19,15,missing_quotation,15,mismatched_quotation,False
500,0.25,20,18,mismatched_quotation,18,mismatched_quotation,True
500,0.25,21,24,missing_comma,24,missing_comma,True
500,0.25,22,13,keywords_as_identifier,13,keywords_as_identifier,True
500,0.25,23,16,keywords_as_identifier,16,keywords_as_identifier,True
500,0.25,24,16,keywords_as_identifier,16,keywords_as_identifier,True
500,0.5,0,35,missing_quotation,35,missing_quotation,True
500,0.5,1,39,mismatched_bracket,39,mismatched_bracket,True
500,0.5,2,32,missing_colon,32,missing_colon,True
500,0.5,3,37,missing_colon,37,missing_colon,True
500,0.5,4,35,mismatched_quotation,35,mismatched_quotation,True
500,0.5,5,34,mismatched_quotation,34,mismatched_quotation,True
500,0.5,6,38,missing_quotation,38,mismatched_quotation,False
500,0.5,7,33,missing_comma,33,missing_comma,True
500,0.5,8,32,missing_colon,32,missing_colon,True
500,0.5,9,34,missing_parenthesis,34,missing_parenthesis,True
500,0.5,10,33,keywords_as_identifier,33,keywords_as_identifier,True
500,0.5,11,34,missing_comma,35,missing_comma,False
500,0.5,12,37,mismatched_bracket,37,mismatched_bracket,True
500,0.5,13,28,keywords_as_identifier,28,keywords_as_identifier,True
500,0.5,14,30,mismatched_quotation,30,mismatched_quotation,True
500,0.5,15,30,missing_comma,30,missing_comma,True
500,0.5,16,27,missing_comma,27,missing_comma,True
500,0.5,17,32,missing_colon,32,missing_colon,True
500,0.5,18,31,mismatched_bracket,31,mismatched_bracket,True
500,0.5,19,30,missing_comma,30,missing_comma,True
500,0.5,20,33,missing_colon,33,missing_colon,True
500,0.5,21,27,missing_comma,27,missing_comma,True
500,0.5,22,26,mismatched_bracket,26,mismatched_bracket,True
500,0.5,23,31,keywords_as_identifier,31,keywords_as_identifier,True
500,0.5,24,32,mismatched_bracket,32,mismatched_bracket,True
500,0.75,0,42,missing_parenthesis,42,missing_parenthesis,True
500,0.75,1,52,missing_parenthesis,52,missing_parenthesis,True
500,0.75,2,51,missing_quotation,51,mismatched_quotation,False
500,0.75,3,55,missing_comma,55,missing_comma,True
500,0.75,4,50,missing_quotation,50,mismatched_quotation,False
500,0.75,5,48,missing_parenthesis,48,missing_parenthesis,True
500,0.75,6,44,missing_colon,44,missing_colon,True
500,0.75,7,46,missing_colon,46,missing_parenthesis,False
500,0.75,8,49,keywords_as_identifier,49,keywords_as_identifier,True
500,0.75,9,46,missing_colon,46,missing_colon,True
500,0.75,10,52,missing_quotation,52,mismatched_quotation,False
500,0.75,11,51,missing_parenthesis,51,missing_parenthesis,True
500,0.75,12,48,mismatched_bracket,48,mismatched_bracket,True
500,0.75,13,44,missing_colon,44,missing_colon,True
500,0.75,14,47,missing_parenthesis,47,missing_parenthesis,True
500,0.75,15,45,missing_parenthesis,45,missing_parenthesis,True
500,0.75,16,46,keywords_as_identifier,46,keywords_as_identifier,True
500,0.75,17,49,keywords_as_identifier,49,keywords_as_identifier,True
500,0.75,18,53,mismatched_quotation,53,mismatched_quotation,True
500,0.75,19,47,keywords_as_identifier,47,keywords_as_identifier,True
500,0.75,20,47,missing_colon,47,missing_colon,True
500,0.75,21,47,missing_parenthesis,47,missing_parenthesis,True
500,0.75,22,47,missing_colon,47,missing_colon,True
500,0.75,23,47,missing_colon,52,missing_colon,False
500,0.75,24,42,missing_colon,42,missing_colon,True
500,1.0,0,67,missing_parenthesis,67,missing_parenthesis,True
500,1.0,1,67,missing_colon,67,missing_colon,True
500,1.0,2,59,missing_colon,59,missing_colon,True
500,1.0,3,63,missing_colon,63,missing_colon,True
500,1.0,4,65,missing_parenthesis,65,missing_parenthesis,True
500,1.0,5,69,missing_colon,69,missing_colon,True
500,1.0,6,68,missing_comma,68,missing_comma,True
500,1.0,7,58,missing_parenthesis,58,missing_parenthesis,True
500,1.0,8,61,mismatched_bracket,61,mismatched_bracket,True
500,1.0,9,63,missing_colon,63,missing_colon,True
500,1.0,10,63,mismatched_quotation,63,mismatched_quotation,True
500,1.0,11,79,mismatched_quotation,79,mismatched_quotation,True
500,1.0,12,60,missing_colon,60,missing_colon,True
500,1.0,13,70,missing_parenthesis,70,missing_parenthesis,True
500,1.0,14,66,missing_quotation,66,mismatched_bracket,False
500,1.0,15,62,mismatched_bracket,62,mismatched_bracket,True
500,1.0,16,70,keywords_as_identifier,70,keywords_as_identifier,True
500,1.0,17,54,missing_quotation,54,mismatched_quotation,False
500,1.0,18,62,missing_quotation,62,missing_quotation,True
500,1.0,19,74,missing_quotation,74,mismatched_quotation,False
500,1.0,20,72,keywords_as_identifier,72,keywords_as_identifier,True
500,1.0,21,65,mismatched_quotation,65,mismatched_quotation,True
500,1.0,22,63,missing_colon,63,missing_colon,True
500,1.0,23,69,mismatched_quotation,69,mismatched_quotation,True
500,1.0,24,62,keywords_as_identifier,62,keywords_as_identifier,True
1000,0.0,0,2,mismatched_quotation,2,mismatched_quotation,True
1000,0.0,1,3,missing_quotation,3,mismatched_quotation,False
1000,0.0,2,1,mismatched_bracket,1,mismatched_bracket,True
1000,0.0,3,1,keywords_as_identifier,1,keywords_as_identifier,True
1000,0.0,4,1,missing_comma,1,missing_comma,True
1000,0.0,5,3,missing_parenthesis,3,missing_colon,False
1000,0.0,6,1,missing_comma,1,missing_colon,False
1000,0.0,7,2,mismatched_quotation,2,mismatched_quotation,True
1000,0.0,8,1,missing_comma,1,missing_comma,True
1000,0.0,9,1,keywords_as_identifier,1,keywords_as_identifier,True
1000,0.0,10,1,missing_comma,1,missing_comma,True
1000,0.0,11,3,mismatched_quotation,3,mismatched_quotation,True
1000,0.0,12,5,missing_quotation,5,missing_parenthesis,False
1000,0.0,13,1,missing_parenthesis,1,missing_colon,False
1000,0.0,14,1,missing_colon,1,missing_colon,True
1000,0.0,15,1,mismatched_quotation,1,mismatched_quotation,True
1000,0.0,16,3,missing_colon,3,missing_colon,True
1000,0.0,17,1,mismatched_quotation,1,mismatched_quotation,True
1000,0.0,18,2,missing_quotation,2,missing_colon,False
1000,0.0,19,4,missing_parenthesis,4,missing_parenthesis,True
1000,0.0,20,9,missing_quotation,9,missing_quotation,True
1000,0.0,21,6,mismatched_quotation,6,mismatched_quotation,True
1000,0.0,22,2,mismatched_quotation,2,mismatched_quotation,True
1000,0.0,23,1,keywords_as_identifier,1,keywords_as_identifier,True
1000,0.0,24,1,missing_comma,1,missing_comma,True
1000,0.25,0,38,missing_quotation,38,mismatched_quotation,False
1000,0.25,1,30,keywords_as_identifier,30,keywords_as_identifier,True
1000,0.25,2,37,missing_comma,37,missing_comma,True
1000,0.25,3,28,missing_colon,28,missing_colon,True
1000,0.25,4,35,mismatched_quotation,35,mismatched_quotation,True
1000,0.25,5,41,missing_comma,41,mismatched_quotation,False
1000,0.25,6,28,missing_comma,28,missing_comma,True
1000,0.25,7,29,mismatched_bracket,29,mismatched_bracket,True
1000,0.25,8,32,mismatched_quotation,32,mismatched_quotation,True
1000,0.25,9,30,missing_parenthesis,30,missing_parenthesis,True
1000,0.25,10,38,mismatched_bracket,38,mismatched_bracket,True
1000,0.25,11,30,mismatched_quotation,30,mismatched_quotation,True
1000,0.25,12,32,keywords_as_identifier,32,keywords_as_identifier,True
1000,0.25,13,32,missing_colon,32,missing_colon,True
1000,0.25,14,33,missing_quotation,60,missing_comma,False
1000,0.25,15,35,missing_quotation,35,missing_quotation,True
1000,0.25,16,33,missing_colon,33,missing_colon,True
1000,0.25,17,31,missing_parenthesis,31,missing_parenthesis,True
1000,0.25,18,39,missing_parenthesis,39,missing_colon,False
1000,0.25,19,36,missing_colon,36,missing_colon,True
1000,0.25,20,31,missing_comma,31,missing_comma,True
1000,0.25,21,33,keywords_as_identifier,33,keywords_as_identifier,True
1000,0.25,22,28,missing_parenthesis,28,missing_parenthesis,True
1000,0.25,23,30,keywords_as_identifier,30,keywords_as_identifier,True
1000,0.25,24,31,missing_comma,31,missing_comma,True
1000,0.5,0,70,keywords_as_identifier,70,keywords_as_identifier,True
1000,0.5,1,67,keywords_as_identifier,69,keywords_as_identifier,False
1000,0.5,2,66,mismatched_quotation,66,mismatched_quotation,True
1000,0.5,3,62,mismatched_quotation,62,mismatched_quotation,True
1000,0.5,4,60,keywords_as_identifier,60,keywords_as_identifier,True
1000,0.5,5,67,mismatched_quotation,67,mismatched_quotation,True
1000,0.5,6,67,missing_colon,67,missing_colon,True
1000,0.5,7,68,missing_parenthesis,68,missing_parenthesis,True
1000,0.5,8,61,missing_parenthesis,61,missing_colon,False
1000,0.5,9,67,mismatched_quotation,67,mismatched_quotation,True
1000,0.5,10,65,missing_quotation,65,missing_quotation,True
1000,0.5,11,66,missing_parenthesis,66,missing_parenthesis,True
1000,0.5,12,63,missing_quotation,63,mismatched_quotation,False
1000,0.5,13,67,mismatched_quotation,67,mismatched_quotation,True
1000,0.5,14,74,mismatched_quotation,74,mismatched_quotation,True
1000,0.5,15,64,mismatched_quotation,64,mismatched_quotation,True
1000,0.5,16,54,keywords_as_identifier,54,keywords_as_identifier,True
1000,0.5,17,65,mismatched_quotation,65,mismatched_quotation,True
1000,0.5,18,65,missing_comma,65,missing_comma,True
1000,0.5,19,61,mismatched_quotation,61,mismatched_quotation,True
1000,0.5,20,70,mismatched_quotation,70,mismatched_quotation,True
1000,0.5,21,65,mismatched_bracket,65,mismatched_bracket,True
1000,0.5,22,59,mismatched_quotation,59,mismatched_quotation,True
1000,0.5,23,67,missing_comma,76,missing_colon,False
1000,0.5,24,65,missing_quotation,65,mismatched_quotation,False
1000,0.75,0,96,keywords_as_identifier,102,keywords_as_identifier,False
1000,0.75,1,98,mismatched_quotation,100,mismatched_quotation,False
1000,0.75,2,101,missing_quotation,101,mismatched_quotation,False
1000,0.75,3,88,missing_comma,89,missing_comma,False
1000,0.75,4,101,missing_parenthesis,101,missing_parenthesis,True
1000,0.75,5,98,missing_comma,98,missing_comma,True
1000,0.75,6,98,mismatched_bracket,98,mismatched_bracket,True
1000,0.75,7,97,missing_comma,97,missing_comma,True
1000,0.75,8,97,missing_colon,97,missing_parenthesis,False
1000,0.75,9,97,missing_parenthesis,103,missing_parenthesis,False
1000,0.75,10,102,missing_quotation,102,mismatched_quotation,False
1000,0.75,11,88,missing_colon,88,missing_colon,True
1000,0.75,12,91,missing_comma,91,missing_comma,True
1000,0.75,13,100,missing_quotation,100,mismatched_quotation,False
1000,0.75,14,103,missing_parenthesis,103,missing_parenthesis,True
1000,0.75,15,107,missing_parenthesis,107,missing_parenthesis,True
1000,0.75,16,97,keywords_as_identifier,103,mismatched_quotation,False
1000,0.75,17,98,missing_quotation,98,mismatched_quotation,False
1000,0.75,18,95,mismatched_bracket,95,mismatched_bracket,True
1000,0.75,19,101,missing_quotation,101,mismatched_quotation,False
1000,0.75,20,97,missing_parenthesis,97,missing_parenthesis,True
1000,0.75,21,96,missing_colon,96,missing_colon,True
1000,0.75,22,100,keywords_as_identifier,100,keywords_as_identifier,True
1000,0.75,23,98,missing_colon,98,missing_colon,True
1000,0.75,24,100,missing_colon,100,missing_colon,True
1000,1.0,0,137,missing_colon,137,missing_colon,True
1000,1.0,1,132,missing_colon,132,missing_colon,True
1000,1.0,2,130,missing_quotation,130,missing_quotation,True
1000,1.0,3,130,missing_parenthesis,130,missing_parenthesis,True
1000,1.0,4,130,keywords_as_identifier,130,keywords_as_identifier,True
1000,1.0,5,126,missing_parenthesis,126,missing_parenthesis,True
1000,1.0,6,133,missing_colon,133,missing_colon,True
1000,1.0,7,124,mismatched_bracket,124,mismatched_bracket,True
1000,1.0,8,136,missing_parenthesis,136,missing_parenthesis,True
1000,1.0,9,136,missing_parenthesis,136,missing_parenthesis,True
1000,1.0,10,134,missing_colon,134,missing_colon,True
1000,1.0,11,124,missing_colon,124,missing_colon,True
1000,1.0,12,134,missing_colon,134,missing_colon,True
1000,1.0,13,118,missing_quotation,118,mismatched_quotation,False
1000,1.0,14,129,missing_parenthesis,129,missing_parenthesis,True
1000,1.0,15,134,mismatched_quotation,134,mismatched_quotation,True
1000,1.0,16,139,mismatched_bracket,139,mismatched_bracket,True
1000,1.0,17,132,missing_quotation,132,mismatched_quotation,False
1000,1.0,18,129,mismatched_quotation,129,mismatched_quotation,True
1000,1.0,19,131,missing_comma,131,missing_comma,True
1000,1.0,20,132,missing_comma,132,missing_comma,True
1000,1.0,21,133,mismatched_bracket,133,mismatched_bracket,True
1000,1.0,22,135,mismatched_quotation,135,mismatched_quotation,True
1000,1.0,23,131,keywords_as_identifier,131,keywords_as_identifier,True
1000,1.0,24,130,keywords_as_identifier,130,keywords_as_identifier,True
2000,0.0,0,1,mismatched_bracket,1,mismatched_bracket,True
2000,0.0,1,2,mismatched_quotation,2,mismatched_quotation,True
2000,0.0,2,1,missing_parenthesis,1,missing_parenthesis,True
2000,0.0,3,2,mismatched_quotation,2,mismatched_quotation,True
2000,0.0,4,2,missing_quotation,2,missing_parenthesis,False
2000,0.0,5,5,mismatched_quotation,5,mismatched_quotation,True
2000,0.0,6,7,missing_quotation,7,mismatched_quotation,False
2000,0.0,7,1,mismatched_bracket,1,mismatched_bracket,True
2000,0.0,8,5,missing_comma,5,missing_comma,True
2000,0.0,9,1,missing_parenthesis,1,missing_parenthesis,True
2000,0.0,10,1,mismatched_quotation,1,mismatched_quotation,True
2000,0.0,11,1,missing_colon,1,missing_colon,True
2000,0.0,12,3,missing_quotation,3,missing_quotation,True
2000,0.0,13,1,mismatched_bracket,1,mismatched_bracket,True
2000,0.0,14,1,missing_parenthesis,1,missing_parenthesis,True
2000,0.0,15,1,mismatched_bracket,1,mismatched_bracket,True
2000,0.0,16,1,missing_quotation,1,missing_quotation,True
2000,0.0,17,4,missing_quotation,4,missing_colon,False
2000,0.0,18,1,mismatched_bracket,1,mismatched_bracket,True
2000,0.0,19,1,mismatched_bracket,1,missing_colon,False
2000,0.0,20,1,mismatched_bracket,1,mismatched_bracket,True
2000,0.0,21,6,missing_quotation,6,mismatched_quotation,False
2000,0.0,22,1,mismatched_bracket,1,mismatched_bracket,True
2000,0.0,23,3,missing_parenthesis,3,missing_parenthesis,True
2000,0.0,24,4,mismatched_quotation,4,missing_parenthesis,False
2000,0.25,0,69,missing_comma,69,missing_comma,True
2000,0.25,1,61,missing_quotation,27,missing_colon,False
2000,0.25,2,62,mismatched_quotation,62,mismatched_quotation,True
2000,0.25,3,65,mismatched_quotation,65,mismatched_quotation,True
2000,0.25,4,64,keywords_as_identifier,64,keywords_as_identifier,True
2000,0.25,5,65,keywords_as_identifier,65,keywords_as_identifier,True
2000,0.25,6,63,missing_quotation,63,missing_quotation,True
2000,0.25,7,61,missing_quotation,61,mismatched_quotation,False
2000,0.25,8,59,keywords_as_identifier,116,keywords_as_identifier,False
2000,0.25,9,74,mismatched_bracket,74,mismatched_bracket,True
2000,0.25,10,64,missing_quotation,64,mismatched_quotation,False
2000,0.25,11,67,missing_colon,67,missing_colon,True
2000,0.25,12,61,missing_colon,61,missing_colon,True
2000,0.25,13,59,mismatched_bracket,59,mismatched_bracket,True
2000,0.25,14,63,missing_parenthesis,63,missing_colon,False
2000,0.25,15,64,missing_parenthesis,64,missing_parenthesis,True
2000,0.25,16,69,mismatched_bracket,70,mismatched_bracket,False
2000,0.25,17,64,keywords_as_identifier,64,keywords_as_identifier,True
2000,0.25,18,67,missing_colon,77,missing_colon,False
2000,0.25,19,63,mismatched_bracket,63,mismatched_bracket,True
2000,0.25,20,75,missing_parenthesis,75,missing_parenthesis,True
2000,0.25,21,71,missing_colon,71,missing_colon,True
2000,0.25,22,59,missing_comma,59,missing_colon,False
2000,0.25,23,60,missing_colon,60,missing_colon,True
2000,0.25,24,65,mismatched_bracket,65,mismatched_bracket,True
2000,0.5,0,126,missing_quotation,86,missing_colon,False
2000,0.5,1,138,missing_parenthesis,138,missing_parenthesis,True
2000,0.5,2,142,mismatched_quotation,142,mismatched_quotation,True
2000,0.5,3,137,missing_quotation,137,mismatched_quotation,False
2000,0.5,4,125,mismatched_quotation,125,mismatched_quotation,True
2000,0.5,5,140,missing_parenthesis,140,missing_parenthesis,True
2000,0.5,6,119,keywords_as_identifier,120,keywords_as_identifier,False
2000,0.5,7,130,mismatched_quotation,130,mismatched_quotation,True
2000,0.5,8,129,missing_quotation,129,missing_comma,False
2000,0.5,9,136,missing_colon,136,missing_colon,True
2000,0.5,10,127,missing_parenthesis,127,missing_parenthesis,True
2000,0.5,11,135,missing_quotation,6,mismatched_quotation,False
2000,0.5,12,122,missing_comma,122,missing_comma,True
2000,0.5,13,115,mismatched_quotation,115,mismatched_quotation,True
2000,0.5,14,140,mismatched_quotation,140,mismatched_quotation,True
2000,0.5,15,129,keywords_as_identifier,129,keywords_as_identifier,True
2000,0.5,16,124,keywords_as_identifier,13,keywords_as_identifier,False
2000,0.5,17,134,keywords_as_identifier,134,keywords_as_identifier,True
2000,0.5,18,127,mismatched_quotation,117,missing_colon,False
2000,0.5,19,125,keywords_as_identifier,250,missing_colon,False
2000,0.5,20,135,mismatched_bracket,135,mismatched_bracket,True
2000,0.5,21,116,missing_comma,116,missing_colon,False
2000,0.5,22,135,missing_parenthesis,135,missing_parenthesis,True
2000,0.5,23,141,mismatched_bracket,141,mismatched_bracket,True
2000,0.5,24,126,missing_quotation,126,missing_quotation,True
2000,0.75,0,208,missing_quotation,208,missing_quotation,True
2000,0.75,1,184,mismatched_quotation,184,mismatched_quotation,True
2000,0.75,2,205,missing_comma,205,missing_colon,False
2000,0.75,3,196,missing_parenthesis,196,missing_parenthesis,True
2000,0.75,4,196,missing_colon,201,missing_colon,False
2000,0.75,5,198,missing_parenthesis,200,missing_parenthesis,False
2000,0.75,6,190,missing_colon,190,missing_colon,True
2000,0.75,7,196,missing_colon,196,missing_colon,True
2000,0.75,8,193,keywords_as_identifier,193,keywords_as_identifier,True
2000,0.75,9,197,mismatched_bracket,202,mismatched_bracket,False
2000,0.75,10,191,mismatched_bracket,191,mismatched_bracket,True
2000,0.75,11,199,missing_quotation,199,mismatched_quotation,False
2000,0.75,12,188,missing_parenthesis,188,missing_colon,False
2000,0.75,13,201,missing_parenthesis,201,missing_parenthesis,True
2000,0.75,14,191,missing_quotation,191,mismatched_quotation,False
2000,0.75,15,194,missing_quotation,194,mismatched_quotation,False
2000,0.75,16,195,missing_comma,195,missing_comma,True
2000,0.75,17,192,mismatched_bracket,192,mismatched_bracket,True
2000,0.75,18,193,missing_comma,193,missing_comma,True
2000,0.75,19,195,missing_comma,195,missing_comma,True
2000,0.75,20,193,missing_comma,194,keywords_as_identifier,False
2000,0.75,21,199,mismatched_quotation,199,mismatched_quotation,True
2000,0.75,22,202,missing_parenthesis,202,missing_parenthesis,True
2000,0.75,23,201,missing_quotation,201,mismatched_quotation,False
2000,0.75,24,191,keywords_as_identifier,191,keywords_as_identifier,True
2000,1.0,0,255,missing_colon,255,missing_colon,True
2000,1.0,1,261,mismatched_quotation,261,mismatched_quotation,True
2000,1.0,2,265,missing_quotation,265,missing_quotation,True
2000,1.0,3,256,missing_quotation,262,mismatched_quotation,False
2000,1.0,4,269,missing_colon,269,missing_colon,True
2000,1.0,5,257,mismatched_quotation,257,mismatched_quotation,True
2000,1.0,6,268,missing_quotation,19,keywords_as_identifier,False
2000,1.0,7,261,mismatched_quotation,261,mismatched_quotation,True
2000,1.0,8,247,mismatched_quotation,247,mismatched_quotation,True
2000,1.0,9,249,mismatched_bracket,249,mismatched_bracket,True
2000,1.0,10,262,mismatched_bracket,6,mismatched_quotation,False
2000,1.0,11,253,missing_parenthesis,253,missing_parenthesis,True
2000,1.0,12,273,missing_colon,273,missing_parenthesis,False
2000,1.0,13,263,mismatched_quotation,263,mismatched_quotation,True
2000,1.0,14,256,missing_comma,257,missing_comma,False
2000,1.0,15,255,missing_quotation,255,mismatched_quotation,False
2000,1.0,16,265,missing_comma,265,missing_parenthesis,False
2000,1.0,17,252,mismatched_bracket,252,mismatched_bracket,True
2000,1.0,18,261,keywords_as_identifier,261,keywords_as_identifier,True
2000,1.0,19,262,mismatched_bracket,74,keywords_as_identifier,False
2000,1.0,20,252,missing_comma,252,missing_comma,True
2000,1.0,21,268,missing_comma,268,mismatched_quotation,False
2000,1.0,22,251,missing_colon,251,missing_colon,True
2000,1.0,23,248,keywords_as_identifier,248,keywords_as_identifier,True
2000,1.0,24,250,missing_colon,250,missing_colon,True
4000,0.0,0,2,missing_parenthesis,2,missing_parenthesis,True
4000,0.0,1,1,missing_colon,1,missing_colon,True
4000,0.0,2,1,missing_comma,1,missing_colon,False
4000,0.0,3,4,mismatched_quotation,4,mismatched_quotation,True
4000,0.0,4,3,missing_quotation,3,missing_quotation,True
4000,0.0,5,1,mismatched_quotation,1,missing_quotation,False
4000,0.0,6,3,missing_comma,3,missing_comma,True
4000,0.0,7,1,missing_colon,1,missing_colon,True
4000,0.0,8,3,keywords_as_identifier,3,keywords_as_identifier,True
4000,0.0,9,1,mismatched_bracket,1,missing_bracket,False
4000,0.0,10,2,missing_parenthesis,2,missing_parenthesis,True
4000,0.0,11,1,missing_comma,1,missing_comma,True
4000,0.0,12,1,keywords_as_identifier,1,keywords_as_identifier,True
4000,0.0,13,1,missing_comma,1,missing_comma,True
4000,0.0,14,3,missing_quotation,3,missing_colon,False
4000,0.0,15,1,missing_colon,1,missing_colon,True
4000,0.0,16,2,missing_comma,117,keywords_as_identifier,False
4000,0.0,17,1,missing_comma,1,missing_parenthesis,False
4000,0.0,18,3,mismatched_bracket,3,mismatched_bracket,True
4000,0.0,19,1,mismatched_bracket,1,mismatched_bracket,True
4000,0.0,20,1,keywords_as_identifier,1,keywords_as_identifier,True
4000,0.0,21,1,missing_parenthesis,1,missing_parenthesis,True
4000,0.0,22,1,keywords_as_identifier,2,keywords_as_identifier,False
4000,0.0,23,1,keywords_as_identifier,1,keywords_as_identifier,True
4000,0.0,24,1,missing_colon,1,missing_colon,True
4000,0.25,0,128,keywords_as_identifier,185,missing_parenthesis,False
4000,0.25,1,125,missing_quotation,126,missing_comma,False
4000,0.25,2,127,missing_quotation,127,mismatched_quotation,False
4000,0.25,3,122,mismatched_quotation,122,missing_quotation,False
4000,0.25,4,125,mismatched_quotation,125,mismatched_quotation,True
4000,0.25,5,130,missing_parenthesis,130,missing_parenthesis,True
4000,0.25,6,127,missing_comma,127,missing_comma,True
4000,0.25,7,122,keywords_as_identifier,129,keywords_as_identifier,False
4000,0.25,8,119,missing_quotation,192,missing_colon,False
4000,0.25,9,127,missing_quotation,127,mismatched_quotation,False
4000,0.25,10,131,mismatched_bracket,131,mismatched_bracket,True
4000,0.25,11,134,mismatched_quotation,134,mismatched_quotation,True
4000,0.25,12,123,keywords_as_identifier,123,keywords_as_identifier,True
4000,0.25,13,131,missing_comma,131,missing_comma,True
4000,0.25,14,122,missing_comma,122,missing_comma,True
4000,0.25,15,131,missing_comma,131,missing_comma,True
4000,0.25,16,123,missing_parenthesis,123,missing_parenthesis,True
4000,0.25,17,134,mismatched_quotation,134,mismatched_quotation,True
4000,0.25,18,137,keywords_as_identifier,14,missing_colon,False
4000,0.25,19,131,missing_colon,131,missing_colon,True
4000,0.25,20,118,missing_parenthesis,18,missing_colon,False
4000,0.25,21,129,mismatched_quotation,129,mismatched_quotation,True
4000,0.25,22,140,missing_comma,140,missing_comma,True
4000,0.25,23,142,mismatched_quotation,140,mismatched_quotation,False
4000,0.25,24,127,mismatched_quotation,127,mismatched_quotation,True
4000,0.5,0,260,mismatched_bracket,260,mismatched_bracket,True
4000,0.5,1,254,mismatched_quotation,254,mismatched_quotation,True
4000,0.5,2,274,mismatched_bracket,274,mismatched_bracket,True
4000,0.5,3,261,missing_comma,261,missing_comma,True
4000,0.5,4,265,missing_comma,265,missing_comma,True
4000,0.5,5,257,keywords_as_identifier,257,keywords_as_identifier,True
4000,0.5,6,272,missing_parenthesis,272,missing_parenthesis,True
4000,0.5,7,263,mismatched_bracket,263,mismatched_bracket,True
4000,0.5,8,254,missing_parenthesis,234,missing_colon,False
4000,0.5,9,253,mismatched_bracket,253,mismatched_bracket,True
4000,0.5,10,272,missing_quotation,272,missing_quotation,True
4000,0.5,11,254,missing_colon,254,missing_colon,True
4000,0.5,12,258,missing_comma,303,missing_comma,False
4000,0.5,13,265,missing_comma,265,missing_comma,True
4000,0.5,14,261,mismatched_bracket,261,mismatched_bracket,True
4000,0.5,15,259,missing_parenthesis,259,missing_parenthesis,True
4000,0.5,16,271,missing_colon,271,missing_colon,True
4000,0.5,17,273,mismatched_quotation,273,mismatched_quotation,True
4000,0.5,18,262,missing_comma,262,missing_comma,True
4000,0.5,19,263,mismatched_quotation,263,mismatched_quotation,True
4000,0.5,20,268,missing_comma,268,missing_comma,True
4000,0.5,21,256,missing_comma,261,missing_parenthesis,False
4000,0.5,22,263,missing_parenthesis,263,missing_parenthesis,True
4000,0.5,23,261,mismatched_quotation,261,mismatched_quotation,True
4000,0.5,24,259,keywords_as_identifier,259,keywords_as_identifier,True
4000,0.75,0,394,keywords_as_identifier,394,keywords_as_identifier,True
4000,0.75,1,392,missing_comma,392,missing_comma,True
