target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.5,17,32,missing_parenthesis,32,missing_parenthesis,True
500,0.5,18,29,mismatched_bracket,34,missing_colon,False
500,0.5,19,29,keywords_as_identifier,30,missing_colon,False
500,0.5,20,31,mismatched_bracket,31,mismatched_bracket,True
500,0.5,21,33,keywords_as_identifier,33,keywords_as_identifier,True
500,0.5,22,34,mismatched_quotation,34,mismatched_quotation,True
500,0.5,23,29,missing_comma,29,missing_comma,True
500,0.5,24,33,missing_colon,33,missing_colon,True
500,0.75,0,50,mismatched_bracket,50,mismatched_bracket,True
500,0.75,1,52,missing_comma,52,missing_comma,True
500,0.75,2,53,keywords_as_identifier,46,keywords_as_identifier,False
500,0.75,3,48,mismatched_bracket,48,mismatched_bracket,True
500,0.75,4,55,missing_quotation,55,missing_quotation,True
500,0.75,5,49,mismatched_bracket,49,mismatched_bracket,True
500,0.75,6,49,missing_quotation,49,missing_quotation,True
500,0.75,7,53,missing_parenthesis,53,missing_colon,False
500,0.75,8,51,missing_comma,51,missing_comma,True
500,0.75,9,49,mismatched_bracket,54,mismatched_bracket,False
500,0.75,10,50,missing_comma,50,missing_comma,True
500,0.75,11,51,missing_colon,51,missing_colon,True
500,0.75,12,51,mismatched_bracket,51,mismatched_bracket,True
500,0.75,13,54,missing_quotation,54,missing_colon,False
500,0.75,14,51,missing_colon,51,missing_colon,True
500,0.75,15,49,missing_parenthesis,49,missing_parenthesis,True
500,0.75,16,48,mismatched_quotation,48,mismatched_quotation,True
500,0.75,17,53,missing_quotation,53,missing_quotation,True
500,0.75,18,48,missing_colon,48,missing_colon,True
500,0.75,19,50,missing_colon,50,missing_colon,True
500,0.75,20,45,keywords_as_identifier,55,keywords_as_identifier,False
500,0.75,21,48,missing_parenthesis,48,missing_parenthesis,True
500,0.75,22,49,missing_colon,49,missing_colon,True
500,0.75,23,51,missing_parenthesis,51,missing_parenthesis,True
500,0.75,24,49,missing_quotation,49,mismatched_quotation,False
500,1.0,0,70,missing_comma,70,missing_comma,True
500,1.0,1,64,mismatched_quotation,64,mismatched_quotation,True
500,1.0,2,63,missing_quotation,63,mismatched_quotation,False
500,1.0,3,58,mismatched_quotation,58,mismatched_quotation,True
500,1.0,4,67,missing_comma,67,missing_comma,True
500,1.0,5,71,missing_quotation,71,mismatched_quotation,False
500,1.0,6,61,keywords_as_identifier,70,keywords_as_identifier,False
500,1.0,7,68,mismatched_bracket,68,mismatched_bracket,True
500,1.0,8,69,missing_colon,69,missing_parenthesis,False
500,1.0,9,77,missing_comma,77,missing_comma,True
500,1.0,10,57,keywords_as_identifier,57,keywords_as_identifier,True
500,1.0,11,68,mismatched_quotation,68,mismatched_quotation,True
500,1.0,12,68,missing_colon,68,missing_colon,True
500,1.0,13,66,mismatched_quotation,66,mismatched_quotation,True
500,1.0,14,57,missing_colon,57,missing_colon,True
500,1.0,15,64,missing_quotation,64,mismatched_quotation,False
500,1.0,16,64,mismatched_quotation,64,mismatched_quotation,True
500,1.0,17,69,missing_colon,70,missing_colon,False
500,1.0,18,69,mismatched_quotation,69,mismatched_quotation,True
500,1.0,19,56,missing_comma,56,missing_comma,True
500,1.0,20,62,missing_colon,62,missing_colon,True
500,1.0,21,64,missing_colon,64,missing_colon,True
500,1.0,22,67,missing_quotation,67,mismatched_quotation,False
500,1.0,23,71,mismatched_quotation,71,mismatched_quotation,True
500,1.0,24,68,missing_colon,68,missing_colon,True
1000,0.0,0,1,keywords_as_identifier,1,keywords_as_identifier,True
1000,0.0,1,1,missing_parenthesis,1,missing_parenthesis,True
1000,0.0,2,6,mismatched_quotation,6,mismatched_quotation,True
1000,0.0,3,2,missing_colon,2,missing_colon,True
1000,0.0,4,7,missing_comma,7,missing_comma,True
1000,0.0,5,1,keywords_as_identifier,1,keywords_as_identifier,True
1000,0.0,6,2,mismatched_quotation,2,mismatched_quotation,True
1000,0.0,7,1,missing_colon,1,missing_colon,True
1000,0.0,8,1,mismatched_bracket,1,mismatched_bracket,True
1000,0.0,9,4,mismatched_quotation,4,mismatched_quotation,True
1000,0.0,10,3,keywords_as_identifier,3,keywords_as_identifier,True
1000,0.0,11,1,missing_colon,1,missing_colon,True
1000,0.0,12,1,mismatched_bracket,1,mismatched_bracket,True
1000,0.0,13,8,mismatched_quotation,8,mismatched_quotation,True
1000,0.0,14,4,missing_comma,4,missing_comma,True
1000,0.0,15,4,missing_parenthesis,4,missing_parenthesis,True
1000,0.0,16,1,missing_comma,1,missing_comma,True
1000,0.0,17,1,missing_quotation,1,missing_quotation,True
1000,0.0,18,3,missing_parenthesis,3,missing_colon,False
1000,0.0,19,3,missing_parenthesis,3,missing_colon,False
1000,0.0,20,1,missing_parenthesis,1,missing_colon,False
1000,0.0,21,1,missing_comma,1,missing_comma,True
1000,0.0,22,1,mismatched_quotation,1,mismatched_quotation,True
1000,0.0,23,2,mismatched_quotation,2,mismatched_quotation,True
1000,0.0,24,3,mismatched_bracket,3,mismatched_bracket,True
1000,0.25,0,33,mismatched_quotation,33,mismatched_quotation,True
1000,0.25,1,32,mismatched_quotation,32,mismatched_quotation,True
1000,0.25,2,37,missing_quotation,37,mismatched_bracket,False
1000,0.25,3,27,missing_comma,27,missing_comma,True
1000,0.25,4,33,missing_colon,33,missing_colon,True
1000,0.25,5,34,missing_colon,34,missing_colon,True
1000,0.25,6,35,keywords_as_identifier,35,keywords_as_identifier,True
1000,0.25,7,32,missing_parenthesis,32,missing_parenthesis,True
1000,0.25,8,36,missing_quotation,36,mismatched_quotation,False
1000,0.25,9,31,keywords_as_identifier,31,keywords_as_identifier,True
1000,0.25,10,31,missing_parenthesis,31,missing_parenthesis,True
1000,0.25,11,31,mismatched_bracket,31,mismatched_bracket,True
1000,0.25,12,37,mismatched_quotation,37,mismatched_quotation,True
1000,0.25,13,32,mismatched_bracket,32,mismatched_bracket,True
1000,0.25,14,32,missing_parenthesis,32,missing_colon,False
1000,0.25,15,30,mismatched_bracket,30,mismatched_bracket,True
1000,0.25,16,30,missing_parenthesis,30,missing_parenthesis,True
1000,0.25,17,34,missing_comma,34,missing_comma,True
1000,0.25,18,26,mismatched_quotation,26,mismatched_quotation,True
1000,0.25,19,30,missing_colon,30,missing_colon,True
1000,0.25,20,29,missing_comma,29,missing_comma,True
1000,0.25,21,35,missing_colon,35,missing_colon,True
1000,0.25,22,34,missing_comma,34,missing_comma,True
1000,0.25,23,31,keywords_as_identifier,31,keywords_as_identifier,True
1000,0.25,24,35,missing_parenthesis,35,missing_parenthesis,True
1000,0.5,0,68,mismatched_quotation,71,mismatched_quotation,False
1000,0.5,1,59,missing_parenthesis,59,missing_parenthesis,True
1000,0.5,2,60,mismatched_bracket,44,keywords_as_identifier,False
1000,0.5,3,65,mismatched_quotation,65,mismatched_quotation,True
1000,0.5,4,70,missing_colon,70,missing_colon,True
1000,0.5,5,71,mismatched_quotation,71,mismatched_quotation,True
1000,0.5,6,64,missing_colon,64,missing_colon,True
1000,0.5,7,64,missing_quotation,64,mismatched_quotation,False
1000,0.5,8,70,mismatched_quotation,70,mismatched_quotation,True
1000,0.5,9,66,missing_colon,66,missing_colon,True
1000,0.5,10,61,keywords_as_identifier,64,keywords_as_identifier,False
1000,0.5,11,55,keywords_as_identifier,55,keywords_as_identifier,True
1000,0.5,12,58,missing_parenthesis,58,missing_parenthesis,True
1000,0.5,13,69,mismatched_quotation,73,mismatched_quotation,False
1000,0.5,14,61,keywords_as_identifier,65,keywords_as_identifier,False
1000,0.5,15,62,missing_comma,62,missing_comma,True
1000,0.5,16,73,missing_comma,72,missing_comma,False
1000,0.5,17,62,mismatched_bracket,62,mismatched_bracket,True
1000,0.5,18,67,missing_quotation,67,mismatched_quotation,False
1000,0.5,19,58,keywords_as_identifier,115,keywords_as_identifier,False
1000,0.5,20,62,missing_comma,62,missing_comma,True
1000,0.5,21,68,keywords_as_identifier,68,keywords_as_identifier,True
1000,0.5,22,66,mismatched_quotation,66,mismatched_quotation,True
1000,0.5,23,65,keywords_as_identifier,65,keywords_as_identifier,True
1000,0.5,24,66,mismatched_quotation,66,mismatched_quotation,True
1000,0.75,0,98,keywords_as_identifier,98,keywords_as_identifier,True
1000,0.75,1,99,mismatched_bracket,99,mismatched_bracket,True
1000,0.75,2,99,mismatched_bracket,99,mismatched_bracket,True
1000,0.75,3,101,missing_parenthesis,101,missing_parenthesis,True
1000,0.75,4,91,missing_comma,91,missing_comma,True
1000,0.75,5,94,missing_comma,94,missing_comma,True
1000,0.75,6,103,mismatched_bracket,103,mismatched_bracket,True
1000,0.75,7,102,keywords_as_identifier,102,keywords_as_identifier,True
1000,0.75,8,96,mismatched_bracket,96,mismatched_bracket,True
1000,0.75,9,101,missing_colon,101,missing_colon,True
1000,0.75,10,99,mismatched_bracket,99,mismatched_bracket,True
1000,0.75,11,99,missing_colon,99,missing_colon,True
1000,0.75,12,92,missing_parenthesis,92,missing_parenthesis,True
1000,0.75,13,102,missing_colon,102,missing_colon,True
1000,0.75,14,101,mismatched_quotation,101,mismatched_quotation,True
1000,0.75,15,99,missing_colon,99,missing_colon,True
1000,0.75,16,98,missing_parenthesis,98,missing_parenthesis,True
1000,0.75,17,96,keywords_as_identifier,96,keywords_as_identifier,True
1000,0.75,18,102,missing_colon,102,missing_colon,True
1000,0.75,19,92,missing_colon,92,missing_colon,True
1000,0.75,20,93,keywords_as_identifier,93,keywords_as_identifier,True
1000,0.75,21,91,keywords_as_identifier,91,keywords_as_identifier,True
1000,0.75,22,93,mismatched_quotation,93,mismatched_quotation,True
1000,0.75,23,94,missing_comma,94,missing_comma,True
1000,0.75,24,105,missing_comma,105,missing_comma,True
1000,1.0,0,136,keywords_as_identifier,136,keywords_as_identifier,True
1000,1.0,1,123,missing_colon,123,missing_parenthesis,False
1000,1.0,2,131,missing_parenthesis,131,missing_parenthesis,True
1000,1.0,3,135,mismatched_quotation,135,mismatched_quotation,True
1000,1.0,4,131,mismatched_bracket,131,mismatched_bracket,True
1000,1.0,5,138,mismatched_quotation,138,mismatched_quotation,True
1000,1.0,6,141,mismatched_quotation,141,mismatched_quotation,True
1000,1.0,7,129,mismatched_bracket,129,mismatched_bracket,True
1000,1.0,8,126,missing_parenthesis,126,missing_parenthesis,True
1000,1.0,9,130,missing_comma,130,missing_comma,True
1000,1.0,10,127,mismatched_bracket,127,missing_parenthesis,False
1000,1.0,11,135,keywords_as_identifier,135,mismatched_bracket,False
1000,1.0,12,137,mismatched_quotation,137,mismatched_quotation,True
1000,1.0,13,131,missing_quotation,131,mismatched_quotation,False
1000,1.0,14,125,mismatched_bracket,125,mismatched_bracket,True
1000,1.0,15,137,mismatched_quotation,137,mismatched_quotation,True
1000,1.0,16,130,missing_parenthesis,130,mismatched_bracket,False
1000,1.0,17,142,missing_parenthesis,142,missing_parenthesis,True
1000,1.0,18,130,missing_parenthesis,130,missing_parenthesis,True
1000,1.0,19,126,mismatched_quotation,126,mismatched_quotation,True
1000,1.0,20,133,missing_colon,133,missing_colon,True
1000,1.0,21,125,missing_comma,125,missing_comma,True
1000,1.0,22,131,missing_comma,131,missing_comma,True
1000,1.0,23,128,missing_colon,128,missing_colon,True
1000,1.0,24,137,missing_colon,137,missing_colon,True
2000,0.0,0,4,missing_parenthesis,5,missing_parenthesis,False
2000,0.0,1,8,missing_parenthesis,8,missing_parenthesis,True
2000,0.0,2,1,mismatched_bracket,1,mismatched_bracket,True
2000,0.0,3,1,missing_quotation,1,mismatched_quotation,False
2000,0.0,4,4,keywords_as_identifier,4,keywords_as_identifier,True
2000,0.0,5,1,missing_colon,1,missing_colon,True
2000,0.0,6,1,keywords_as_identifier,9,keywords_as_identifier,False
2000,0.0,7,7,missing_quotation,7,mismatched_quotation,False
2000,0.0,8,1,missing_comma,1,missing_comma,True
2000,0.0,9,1,missing_colon,1,missing_colon,True
2000,0.0,10,5,missing_colon,5,missing_colon,True
2000,0.0,11,3,missing_parenthesis,3,missing_colon,False
2000,0.0,12,1,missing_colon,1,missing_colon,True
2000,0.0,13,1,keywords_as_identifier,1,keywords_as_identifier,True
2000,0.0,14,1,keywords_as_identifier,1,keywords_as_identifier,True
2000,0.0,15,1,missing_comma,1,missing_colon,False
2000,0.0,16,3,missing_quotation,3,missing_parenthesis,False
2000,0.0,17,1,mismatched_bracket,1,mismatched_bracket,True
2000,0.0,18,1,mismatched_bracket,1,mismatched_bracket,True
2000,0.0,19,1,missing_comma,1,missing_colon,False
2000,0.0,20,4,missing_comma,4,missing_comma,True
2000,0.0,21,1,keywords_as_identifier,1,keywords_as_identifier,True
2000,0.0,22,2,missing_parenthesis,2,missing_parenthesis,True
2000,0.0,23,4,missing_comma,4,missing_comma,True
2000,0.0,24,1,keywords_as_identifier,1,keywords_as_identifier,True
2000,0.25,0,72,missing_comma,72,missing_comma,True
2000,0.25,1,64,mismatched_quotation,64,mismatched_quotation,True
2000,0.25,2,64,mismatched_bracket,64,mismatched_bracket,True
2000,0.25,3,56,missing_colon,56,missing_colon,True
2000,0.25,4,62,missing_parenthesis,62,missing_colon,False
2000,0.25,5,71,missing_comma,71,missing_comma,True
2000,0.25,6,65,mismatched_bracket,65,mismatched_bracket,True
2000,0.25,7,68,missing_comma,68,missing_comma,True
2000,0.25,8,62,missing_comma,62,missing_comma,True
2000,0.25,9,55,mismatched_bracket,55,mismatched_bracket,True
2000,0.25,10,69,missing_quotation,69,mismatched_quotation,False
2000,0.25,11,69,missing_colon,69,missing_colon,True
2000,0.25,12,72,missing_parenthesis,72,missing_parenthesis,True
2000,0.25,13,63,keywords_as_identifier,63,keywords_as_identifier,True
2000,0.25,14,78,mismatched_quotation,78,mismatched_quotation,True
2000,0.25,15,69,missing_parenthesis,69,missing_parenthesis,True
2000,0.25,16,58,missing_colon,58,missing_colon,True
2000,0.25,17,65,keywords_as_identifier,65,keywords_as_identifier,True
2000,0.25,18,68,mismatched_bracket,68,mismatched_bracket,True
2000,0.25,19,64,mismatched_quotation,64,mismatched_quotation,True
2000,0.25,20,62,missing_quotation,62,mismatched_quotation,False
2000,0.25,21,67,missing_parenthesis,76,missing_colon,False
2000,0.25,22,66,missing_colon,73,missing_colon,False
2000,0.25,23,64,missing_comma,65,missing_comma,False
2000,0.25,24,74,keywords_as_identifier,74,keywords_as_identifier,True
2000,0.5,0,138,mismatched_quotation,138,mismatched_quotation,True
2000,0.5,1,130,missing_comma,130,missing_comma,True
2000,0.5,2,125,missing_quotation,125,mismatched_quotation,False
2000,0.5,3,117,missing_comma,117,missing_comma,True
2000,0.5,4,127,mismatched_bracket,127,mismatched_bracket,True
2000,0.5,5,125,mismatched_bracket,125,mismatched_bracket,True
2000,0.5,6,126,missing_comma,126,missing_comma,True
2000,0.5,7,122,missing_colon,122,missing_colon,True
2000,0.5,8,126,keywords_as_identifier,126,keywords_as_identifier,True
2000,0.5,9,118,missing_quotation,118,mismatched_quotation,False
2000,0.5,10,127,missing_quotation,127,mismatched_quotation,False
2000,0.5,11,138,missing_colon,138,missing_colon,True
2000,0.5,12,124,mismatched_bracket,124,mismatched_bracket,True
2000,0.5,13,126,keywords_as_identifier,105,keywords_as_identifier,False
2000,0.5,14,144,mismatched_quotation,144,mismatched_quotation,True
2000,0.5,15,128,missing_comma,129,missing_comma,False
2000,0.5,16,126,keywords_as_identifier,126,keywords_as_identifier,True
2000,0.5,17,123,missing_parenthesis,123,missing_parenthesis,True
2000,0.5,18,129,missing_comma,129,missing_comma,True
2000,0.5,19,137,missing_quotation,137,mismatched_quotation,False
2000,0.5,20,127,missing_colon,127,missing_colon,True
2000,0.5,21,124,mismatched_bracket,124,mismatched_bracket,True
2000,0.5,22,132,keywords_as_identifier,132,keywords_as_identifier,True
2000,0.5,23,132,missing_quotation,132,missing_quotation,True
2000,0.5,24,141,missing_comma,141,missing_comma,True
2000,0.75,0,209,mismatched_bracket,209,mismatched_bracket,True
2000,0.75,1,208,keywords_as_identifier,208,keywords_as_identifier,True
2000,0.75,2,193,keywords_as_identifier,193,keywords_as_identifier,True
2000,0.75,3,200,mismatched_quotation,200,mismatched_quotation,True
2000,0.75,4,202,missing_colon,202,missing_colon,True
2000,0.75,5,194,missing_comma,194,missing_colon,False
2000,0.75,6,189,missing_colon,199,missing_colon,False
2000,0.75,7,185,missing_parenthesis,185,missing_parenthesis,True
2000,0.75,8,196,mismatched_quotation,196,mismatched_quotation,True
2000,0.75,9,210,mismatched_quotation,210,mismatched_quotation,True
2000,0.75,10,191,missing_parenthesis,191,missing_parenthesis,True
2000,0.75,11,198,mismatched_bracket,198,mismatched_bracket,True
2000,0.75,12,192,mismatched_bracket,192,mismatched_bracket,True
2000,0.75,13,194,missing_quotation,204,missing_colon,False
2000,0.75,14,182,missing_quotation,182,mismatched_quotation,False
2000,0.75,15,192,missing_comma,192,missing_comma,True
2000,0.75,16,199,missing_quotation,200,missing_colon,False
2000,0.75,17,198,mismatched_quotation,198,mismatched_quotation,True
2000,0.75,18,197,missing_comma,197,missing_comma,True
2000,0.75,19,186,missing_parenthesis,186,missing_parenthesis,True
2000,0.75,20,201,missing_quotation,201,mismatched_quotation,False
2000,0.75,21,187,missing_quotation,187,missing_quotation,True
2000,0.75,22,198,missing_parenthesis,198,missing_parenthesis,True
2000,0.75,23,192,missing_parenthesis,192,missing_parenthesis,True
2000,0.75,24,197,mismatched_quotation,200,mismatched_quotation,False
2000,1.0,0,250,mismatched_bracket,250,mismatched_bracket,True
2000,1.0,1,246,keywords_as_identifier,247,keywords_as_identifier,False
2000,1.0,2,265,keywords_as_identifier,265,keywords_as_identifier,True
2000,1.0,3,260,mismatched_bracket,260,missing_parenthesis,False
2000,1.0,4,277,keywords_as_identifier,277,keywords_as_identifier,True
2000,1.0,5,250,keywords_as_identifier,257,keywords_as_identifier,False
2000,1.0,6,254,missing_parenthesis,254,missing_parenthesis,True
2000,1.0,7,276,mismatched_quotation,276,mismatched_quotation,True
2000,1.0,8,280,missing_comma,280,missing_comma,True
2000,1.0,9,269,mismatched_bracket,269,mismatched_bracket,True
2000,1.0,10,261,missing_quotation,261,missing_comma,False
2000,1.0,11,257,missing_quotation,257,mismatched_quotation,False
2000,1.0,12,264,keywords_as_identifier,273,missing_parenthesis,False
2000,1.0,13,260,missing_colon,260,missing_colon,True
2000,1.0,14,263,mismatched_quotation,263,mismatched_quotation,True
2000,1.0,15,274,mismatched_quotation,274,mismatched_quotation,True
2000,1.0,16,272,missing_quotation,272,missing_comma,False
2000,1.0,17,265,keywords_as_identifier,265,keywords_as_identifier,True
2000,1.0,18,241,missing_parenthesis,241,missing_parenthesis,True
2000,1.0,19,265,missing_comma,265,missing_comma,True
2000,1.0,20,248,missing_comma,248,missing_colon,False
2000,1.0,21,253,missing_quotation,253,mismatched_quotation,False
2000,1.0,22,264,missing_quotation,264,mismatched_quotation,False
2000,1.0,23,271,keywords_as_identifier,271,keywords_as_identifier,True
2000,1.0,24,267,mismatched_bracket,267,mismatched_bracket,True
4000,0.0,0,1,mismatched_quotation,1,missing_quotation,False
4000,0.0,1,1,missing_parenthesis,1,missing_parenthesis,True
4000,0.0,2,2,missing_parenthesis,2,missing_parenthesis,True
4000,0.0,3,1,missing_comma,1,missing_comma,True
4000,0.0,4,1,keywords_as_identifier,1,keywords_as_identifier,True
4000,0.0,5,4,missing_comma,5,missing_comma,False
4000,0.0,6,1,missing_comma,1,missing_comma,True
4000,0.0,7,3,missing_parenthesis,3,missing_parenthesis,True
4000,0.0,8,1,keywords_as_identifier,1,keywords_as_identifier,True
4000,0.0,9,4,keywords_as_identifier,4,keywords_as_identifier,True
4000,0.0,10,1,missing_comma,1,missing_comma,True
4000,0.0,11,1,missing_comma,1,missing_comma,True
4000,0.0,12,1,mismatched_bracket,1,missing_colon,False
4000,0.0,13,4,mismatched_quotation,4,mismatched_quotation,True
4000,0.0,14,3,mismatched_quotation,3,mismatched_quotation,True
4000,0.0,15,1,missing_parenthesis,1,missing_colon,False
4000,0.0,16,1,mismatched_bracket,1,mismatched_bracket,True
4000,0.0,17,2,missing_quotation,2,mismatched_quotation,False
4000,0.0,18,1,missing_comma,1,missing_comma,True
4000,0.0,19,2,mismatched_quotation,2,mismatched_quotation,True
4000,0.0,20,3,missing_parenthesis,3,missing_parenthesis,True
4000,0.0,21,1,missing_colon,1,missing_colon,True
4000,0.0,22,1,keywords_as_identifier,1,keywords_as_identifier,True
4000,0.0,23,4,missing_quotation,4,missing_quotation,True
4000,0.0,24,7,missing_quotation,7,mismatched_quotation,False
4000,0.25,0,128,mismatched_quotation,128,mismatched_quotation,True
4000,0.25,1,138,missing_comma,138,missing_comma,True
4000,0.25,2,125,keywords_as_identifier,125,keywords_as_identifier,True
4000,0.25,3,129,missing_comma,129,missing_comma,True
4000,0.25,4,125,missing_comma,125,missing_comma,True
4000,0.25,5,135,missing_parenthesis,315,missing_colon,False
4000,0.25,6,131,missing_quotation,158,missing_colon,False
4000,0.25,7,125,mismatched_bracket,125,mismatched_bracket,True
4000,0.25,8,130,missing_colon,130,missing_colon,True
4000,0.25,9,127,missing_colon,127,missing_colon,True
4000,0.25,10,135,missing_quotation,302,missing_parenthesis,False
4000,0.25,11,133,missing_quotation,133,mismatched_quotation,False
4000,0.25,12,124,missing_quotation,124,mismatched_quotation,False
4000,0.25,13,124,missing_quotation,124,missing_quotation,True
4000,0.25,14,128,missing_parenthesis,128,missing_parenthesis,True
4000,0.25,15,142,mismatched_quotation,142,mismatched_quotation,True
4000,0.25,16,132,mismatched_quotation,10,missing_colon,False
4000,0.25,17,123,missing_parenthesis,123,missing_colon,False
4000,0.25,18,128,missing_parenthesis,128,missing_parenthesis,True
4000,0.25,19,128,missing_colon,18,keywords_as_identifier,False
4000,0.25,20,127,keywords_as_identifier,127,keywords_as_identifier,True
4000,0.25,21,131,missing_parenthesis,131,missing_parenthesis,True
4000,0.25,22,131,missing_quotation,131,missing_quotation,True
4000,0.25,23,122,missing_parenthesis,122,missing_parenthesis,True
4000,0.25,24,125,missing_comma,191,missing_colon,False
4000,0.5,0,274,mismatched_quotation,76,missing_parenthesis,False
4000,0.5,1,262,missing_comma,262,missing_comma,True
4000,0.5,2,262,missing_colon,262,missing_colon,True
4000,0.5,3,269,keywords_as_identifier,451,missing_parenthesis,False
4000,0.5,4,266,mismatched_quotation,266,mismatched_quotation,True
4000,0.5,5,257,mismatched_quotation,257,mismatched_quotation,True
4000,0.5,6,253,keywords_as_identifier,253,keywords_as_identifier,True
4000,0.5,7,262,mismatched_bracket,262,mismatched_bracket,True
4000,0.5,8,268,mismatched_bracket,268,mismatched_bracket,True
4000,0.5,9,276,missing_comma,276,missing_comma,True
4000,0.5,10,261,missing_colon,261,missing_colon,True
4000,0.5,11,261,keywords_as_identifier,379,mismatched_quotation,False
4000,0.5,12,265,missing_parenthesis,411,missing_parenthesis,False
4000,0.5,13,267,missing_comma,267,missing_comma,True
4000,0.5,14,267,missing_comma,267,missing_comma,True
4000,0.5,15,264,keywords_as_identifier,264,keywords_as_identifier,True
4000,0.5,16,266,keywords_as_identifier,272,keywords_as_identifier,False
4000,0.5,17,264,missing_parenthesis,264,missing_colon,False
4000,0.5,18,272,missing_quotation,272,mismatched_quotation,False
4000,0.5,19,268,missing_quotation,268,mismatched_quotation,False
4000,0.5,20,251,missing_comma,251,missing_comma,True
4000,0.5,21,271,keywords_as_identifier,277,keywords_as_identifier,False
4000,0.5,22,259,missing_quotation,312,missing_parenthesis,False
4000,0.5,23,272,missing_parenthesis,272,missing_parenthesis,True
4000,0.5,24,266,missing_parenthesis,266,missing_colon,False
4000,0.75,0,389,mismatched_quotation,389,mismatched_quotation,True
4000,0.75,1,396,mismatched_quotation,396,mismatched_quotation,True
